datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
18,C4-TP9,1382,2.657692,0.814117,20.99954,13.057834,30,0,15600,2.580889,1.5,1.5,12.5,14.5,13.5,6.091186,10.630246,10.63097,-0.223635,13.458594,0.481616
19,C3-TP10,1453,2.42571,0.737598,21.81953,13.313055,30,0,17970,2.435736,1.5,1.5,12.8,14.8,13.8,6.216887,9.813489,9.825877,-0.40758,13.827635,0.515804
19,C4-TP9,1366,2.280467,0.734627,19.13194,13.31988,30,0,17970,2.153458,1.5,1.5,12.8,14.8,13.8,5.422697,9.77306,9.797218,-0.500222,13.866866,0.518989
20,C3-TP10,1574,2.761404,0.759371,33.90908,13.523112,30,0,17100,4.173461,1.5,1.5,13,15,14,9.909786,10.273189,10.26493,-0.159971,13.934361,0.531261
20,C4-TP9,1523,2.67193,0.765936,30.78102,13.547132,30,0,17100,3.789465,1.5,1.5,13,15,14,9.001992,10.38411,10.368352,-0.119384,13.946222,0.528407
21,C3-TP10,1039,1.794473,0.796593,21.4525,14.133219,30,0,17370,2.048869,1.5,1.5,13.5,15.5,14.5,5.901531,11.247353,11.26949,-0.461082,14.674278,0.510329
21,C4-TP9,1118,1.930915,0.770966,22.93316,14.085087,30,0,17370,2.216155,1.5,1.5,13.5,15.5,14.5,6.350045,10.864937,10.853309,-0.472497,14.63933,0.53712
22,C3-TP10,1488,2.587826,0.717735,19.70665,14.005749,30,0,17250,2.291746,1.5,1.5,13.4,15.4,14.4,5.702969,10.052419,10.052419,0.026588,14.376583,0.51001
22,C4-TP9,1353,2.353043,0.717118,18.76793,13.956053,30,0,17250,2.199966,1.5,1.5,13.4,15.4,14.4,5.45656,9.992609,10.023651,-0.005659,14.366996,0.512741
23,C3-TP10,1705,2.619048,0.853789,26.86572,13.23787,30,0,19530,3.160398,1.5,1.5,12.5,14.5,13.5,7.650692,11.321408,11.283284,-0.191725,13.596945,0.466081
23,C4-TP9,1737,2.668203,0.873955,27.49116,13.255076,30,0,19530,3.285124,1.5,1.5,12.5,14.5,13.5,7.843893,11.573402,11.595279,-0.272774,13.647097,0.47131
24,C3-TP10,649,1.735294,0.75114,18.3994,12.828981,30,0,11220,2.178021,1.5,1.5,12.3,14.3,13.3,5.260792,9.634823,9.637904,-0.282829,13.286169,0.495443
24,C4-TP9,546,1.459893,0.730403,16.73847,12.724423,30,0,11220,2.113713,1.5,1.5,12.3,14.3,13.3,4.846054,9.29304,9.294872,-0.169051,13.140953,0.4399
25,C3-TP10,1496,2.619965,0.749873,22.41042,14.223888,30,0,17130,2.612575,1.5,1.5,13.6,15.6,14.6,6.446865,10.651738,10.680481,-0.221925,14.691141,0.489815
25,C4-TP9,1413,2.474606,0.746235,22.75914,14.164525,30,0,17130,2.641422,1.5,1.5,13.6,15.6,14.6,6.530894,10.56334,10.576787,-0.28105,14.649326,0.515069
26,C3-TP10,1835,2.751124,0.793346,25.76512,13.777743,30,0,20010,3.109114,1.5,1.5,13.2,15.2,14.2,7.483224,10.929155,10.93188,-0.314306,14.250783,0.511446
26,C4-TP9,1748,2.62069,0.799096,25.34169,13.683939,30,0,20010,3.011598,1.5,1.5,13.2,15.2,14.2,7.309774,10.926201,10.943364,-0.388594,14.182857,0.511976
27,C3-TP10,1374,2.549165,0.763108,29.42303,13.080467,30,0,16170,3.252643,1.5,1.5,12.3,14.3,13.3,8.319045,9.979622,9.983988,-0.484904,13.581937,0.539112
27,C4-TP9,1465,2.717996,0.766881,25.47645,13.052302,30,0,16170,2.926693,1.5,1.5,12.3,14.3,13.3,7.282143,10.017065,10.002048,-0.412361,13.519668,0.555219
28,C3-TP10,1450,2.436975,0.793814,21.90485,12.844583,30,0,17850,2.75995,1.5,1.5,12.3,14.3,13.3,6.391183,10.177241,10.215172,-0.100616,13.196917,0.473121
28,C4-TP9,1590,2.672269,0.845182,25.02625,12.914856,30,0,17850,3.06042,1.5,1.5,12.3,14.3,13.3,7.246837,10.907547,10.92327,-0.10759,13.247729,0.491161
29,C3-TP10,1579,2.467188,0.863635,27.36391,12.689927,30,0,19200,3.206316,1.5,1.5,12,14,13,7.858251,10.967701,10.951235,-0.209159,13.079302,0.489997
29,C4-TP9,1750,2.734375,0.887531,29.01323,12.7548,30,0,19200,3.484973,1.5,1.5,12,14,13,8.399601,11.318857,11.321714,-0.233964,13.142907,0.480996
30,C3-TP10,1062,1.934426,0.746959,17.60682,13.768326,30,0,16470,2.079062,1.5,1.5,13.2,15.2,14.2,5.057373,10.281544,10.287194,-0.351472,14.253076,0.49554
30,C4-TP9,880,1.602914,0.739318,17.2053,13.668152,30,0,16470,2.131686,1.5,1.5,13.2,15.2,14.2,4.986578,10.098864,10.111364,-0.322792,14.175783,0.45953
31,C3-TP10,1242,2.066556,0.79132,19.9129,12.818217,30,0,18030,2.462303,1.5,1.5,12.2,14.2,13.2,5.751725,10.161836,10.124799,-0.211593,13.227628,0.464743
