datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_peak2trough_potential,mean_slope_to_trough_min_potential_per_second,mean_slope_zerocrossing_to_trough_potential_per_second,mean_slope_trough_to_up_max_potential_per_second,mean_slope_trough_to_zerocrossing_potential_per_second,mean_frequency_by_duration,mean_frequency_by_trough_to_peak_latency,epoch_length_seconds,lengths_ROI_seconds,used_meanNegPeak_potential,used_meanP2T_potential,mean_SD_of_filtered_signal,mean_negative_peak_potential,mean_positive_peak_potential
36,C3-TP10,626,0.990506,1.202412,103.9831,-473.0443,-265.1053,449.6692,248.4269,0.831662,0.872668,30,18960,-34.59794,63.66244,31.649,-57.81816,46.16498
36,C4-TP9,651,1.030063,1.217527,101.5857,-452.7283,-252.1241,442.9515,235.1069,0.821337,0.849049,30,18960,-33.54802,62.47453,30.69611,-54.90547,46.68025
37,C3-TP10,644,1.135802,1.251724,114.9257,-473.7255,-271.2487,468.0546,252.077,0.798898,0.838498,30,17010,-37.77403,70.44522,35.44625,-63.16298,51.76271
37,C4-TP9,757,1.335097,1.309815,129.9186,-526.9577,-299.3094,521.3392,269.0768,0.763467,0.788607,30,17010,-41.97318,78.74072,39.87192,-71.27824,58.64033
38,C3-TP10,1034,1.71476,1.239671,179.2535,-739.1296,-399.2086,807.8487,408.9649,0.806666,0.859275,30,18090,-52.42249,100.2873,54.50355,-94.70494,84.54855
38,C4-TP9,1124,1.864013,1.247295,187.2733,-772.8389,-427.8846,838.1175,422.2764,0.801735,0.855755,30,18090,-54.67473,105.1908,56.91073,-99.76492,87.50836
39,C3-TP10,898,1.441413,1.311492,126.454,-603.6345,-353.8972,492.9856,257.7287,0.76249,0.74275,30,18690,-41.61601,75.45912,38.25734,-72.90281,53.55116
39,C4-TP9,896,1.438202,1.317087,119.8063,-564.6279,-328.2287,456.0824,236.2175,0.759251,0.732361,30,18690,-39.0241,70.80778,36.44363,-68.45711,51.34914
40,C3-TP10,1031,1.704132,1.229534,174.4191,-727.2171,-417.1959,803.9446,464.5905,0.813316,0.925178,30,18150,-51.46395,93.23906,53.35618,-101.3353,73.08377
40,C4-TP9,1245,2.057851,1.256594,185.6611,-797.1811,-458.925,819.7032,480.6794,0.795802,0.877193,30,18150,-55.52683,99.32456,56.82084,-109.4064,76.25467
41,C3-TP10,889,1.447883,1.383206,151.8413,-532.3027,-297.3023,562.0271,304.0227,0.722958,0.755824,30,18420,-42.25607,80.04021,47.71394,-80.79273,71.04853
41,C4-TP9,953,1.552117,1.252508,155.1989,-693.1892,-388.0662,692.7199,387.4046,0.798398,0.848438,30,18420,-45.6022,84.07753,47.10617,-87.88191,67.31699
42,C3-TP10,1351,2.056317,1.224545,201.4595,-785.7373,-456.8508,831.3771,481.5655,0.81663,0.927553,30,19710,-56.53639,103.1602,63.3181,-113.9667,87.49278
42,C4-TP9,1423,2.165906,1.215214,214.712,-886.0718,-529.287,864.6746,508.9146,0.8229,0.916787,30,19710,-62.41567,111.953,67.90151,-124.3978,90.3142
43,C3-TP10,609,1.45,1.373448,138.7883,-580.5802,-321.495,512.0422,260.6783,0.728094,0.709956,30,12600,-42.01918,79.37785,42.36258,-75.88141,62.90691
43,C4-TP9,652,1.552381,1.378972,147.6727,-636.8251,-365.9639,550.3356,283.267,0.725178,0.710131,30,12600,-45.31071,84.2766,45.13144,-83.12473,64.54794
44,C3-TP10,1008,1.69697,1.344187,154.7067,-657.805,-374.236,630.1659,331.8107,0.743944,0.76696,30,17820,-46.44459,86.29917,47.18259,-86.98951,67.7172
44,C4-TP9,992,1.670034,1.349022,173.3432,-754.6299,-424.6027,694.7357,363.2986,0.741278,0.759397,30,17820,-49.60164,92.06657,52.567,-97.53216,75.811
45,C3-TP10,733,1.279232,1.41704,103.9367,-366.26,-197.2086,388.7046,190.949,0.705697,0.71273,30,17190,-32.19474,62.64907,31.98466,-53.72754,50.20917
45,C4-TP9,982,1.713787,1.328666,139.7972,-538.5006,-291.2651,586.5396,299.0777,0.752635,0.778957,30,17190,-45.51179,82.9481,42.44538,-74.24382,65.55335
46,C3-TP10,943,1.696043,1.299141,156.7897,-669.1112,-397.3016,600.3673,362.5472,0.769739,0.836557,30,16680,-47.70879,84.21838,48.52085,-93.3332,63.4565
46,C4-TP9,927,1.667266,1.328296,140.4736,-573.7325,-324.2201,528.5377,297.3845,0.752844,0.804101,30,16680,-43.78713,78.8227,43.53405,-80.31967,60.15394
47,C3-TP10,587,1.181087,1.253748,104.5292,-435.2413,-244.9644,461.1382,242.2442,0.797609,0.866574,30,14910,-32.49997,61.46995,31.48941,-55.92984,48.59936
47,C4-TP9,580,1.167002,1.218983,113.3122,-511.5224,-296.8403,493.9448,263.0704,0.820356,0.876106,30,14910,-35.12226,65.20907,34.50406,-63.47491,49.83733
48,C3-TP10,561,1.186047,1.344528,132.2097,-598.0864,-350.3721,572.3442,319.1163,0.743756,0.804347,30,14190,-41.74256,75.04734,39.55431,-77.90549,54.30418
48,C4-TP9,626,1.323467,1.293898,129.5307,-614.626,-354.3759,573.4177,316.276,0.772859,0.815062,30,14190,-41.06148,73.56201,38.98046,-76.94691,52.58375
49,C3-TP10,610,1.737892,1.299016,113.3881,-441.5834,-240.3058,472.513,243.0183,0.769813,0.797949,30,10530,-36.79018,70.27127,34.52249,-59.32038,54.06775
49,C4-TP9,563,1.603989,1.280053,111.9811,-457.8581,-256.8183,471.9397,245.3912,0.781217,0.797225,30,10530,-37.09738,69.97471,34.10716,-60.32306,51.65806
