datasetnum,channel,count,density_per_epoch,mean_duration_seconds,mean_amplitude_trough2peak_potential,mean_frequency_by_mean_pk_trgh_cnt_per_dur,epoch_length_seconds,merged_count,lengths_ROI_seconds,used_threshold_basis,used_factor_for_threshold_basis_begin_end,used_factor_for_threshold_basis_criterion,used_min_detection_pass_or_cutoff_freq,used_max_detection_pass_or_cutoff_freq,used_center_freq,mean_SD_of_filtered_signal,mean_troughs_per_event,mean_peaks_per_event,mean_linear_regression_freq_slope,mean_linear_regression_freq_offset,mean_linear_regression_freq_R_squared
46,C4A1 EEG,525,1.148796,0.709924,14.38108,13.722465,30,0,13710,1.785361,1.5,1.5,13.2,15.2,14.2,4.166621,9.740952,9.742857,-0.134416,14.147632,0.46473
47,C3A2 EEG,1569,2.280523,0.793066,29.97657,11.744165,30,0,20640,3.674141,1.5,1.5,11.4,13.4,12.4,8.598523,9.309114,9.318674,-0.469025,12.244214,0.456198
47,C4A1 EEG,1476,2.145349,0.782656,30.85957,11.768092,30,0,20640,3.824914,1.5,1.5,11.4,13.4,12.4,8.89569,9.204607,9.216125,-0.40029,12.230615,0.448842
48,C3A2 EEG,1494,2.284404,0.753742,31.93281,12.538074,30,0,19620,3.805546,1.5,1.5,12,14,13,9.190291,9.453146,9.447791,-0.365221,12.999406,0.521485
48,C4A1 EEG,1512,2.311927,0.753585,33.15482,12.53708,30,0,19620,3.942167,1.5,1.5,12,14,13,9.551529,9.449735,9.445767,-0.39411,13.021609,0.519153
49,C3A2 EEG,1005,2.348131,0.733174,22.9041,14.321291,30,0,12840,2.658911,1.5,1.5,13.8,15.8,14.8,6.609589,10.496517,10.503483,-0.024284,14.748163,0.505688
49,C4A1 EEG,803,1.876168,0.727298,19.82079,14.272628,30,0,12840,2.394,1.5,1.5,13.8,15.8,14.8,5.745534,10.39477,10.366127,-0.07666,14.673868,0.468418
50,C3A2 EEG,1503,2.424194,0.764052,39.78668,12.822522,30,0,18600,4.517381,1.5,1.5,12.2,14.2,13.2,11.28046,9.802395,9.79175,-0.389754,13.296352,0.520148
50,C4A1 EEG,1354,2.183871,0.746979,37.09479,12.665487,30,0,18600,4.278768,1.5,1.5,12.2,14.2,13.2,10.49479,9.477105,9.444609,-0.414093,13.175117,0.502043
51,C3A2 EEG,1298,2.394834,0.793521,33.18317,12.835562,30,0,16260,3.631295,1.5,1.5,12.2,14.2,13.2,9.27888,10.184129,10.186441,-0.482984,13.353792,0.511178
